BTC bought at 29886.74 on 2023-08-01 20:15:31.545015
XTZ sold at 0.84875 on 2023-08-01 20:15:40.406882
BTC bought at 29886.74 on 2023-08-01 20:19:03.265445
BTC bought at 29886.74 on 2023-08-01 20:19:57.520440
AVAX bought at 12.92 on 2023-08-01 20:20:03.609478
BTC bought at 29915.895 on 2023-08-01 20:21:19.875088
SHIB bought at 8.45e-06 on 2023-08-01 20:21:22.022459
AVAX bought at 12.92 on 2023-08-01 20:21:26.352978
BTC bought at 29915.895 on 2023-08-01 20:23:01.065399
SHIB bought at 8.45e-06 on 2023-08-01 20:23:03.061625
AVAX bought at 12.92 on 2023-08-01 20:23:07.336282
BTC bought at 29912.225 on 2023-08-01 20:25:19.858903
DOGE bought at 0.078025 on 2023-08-01 20:25:22.580492
SHIB bought at 8.44e-06 on 2023-08-01 20:25:23.827526
LINK bought at 7.6625 on 2023-08-01 20:25:26.858641
AVAX bought at 12.9135 on 2023-08-01 20:25:28.211069
BTC sold at 29973.43 on 2023-08-01 20:32:07.567527
BTC bought at 29151.9 on 2023-08-02 12:53:00.271817, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.874557, buy_points: 1
ETH bought at 1832.23 on 2023-08-02 12:53:01.304104, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
DOGE bought at 0.07471101 on 2023-08-02 12:53:02.205892, quantity: 39.12, purchased usd: 1.0, quantity: 39.12, worth usd: $2.9226947111999997, buy_points: 1
SHIB bought at 8.175e-06 on 2023-08-02 12:53:03.206301, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.066 on 2023-08-02 12:53:04.120835, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 86.995 on 2023-08-02 12:53:06.191948, quantity: 0.01, purchased usd: 1.0, quantity: 0.01, worth usd: $0.8699500000000001, buy_points: 1
LINK bought at 7.418 on 2023-08-02 12:53:07.019945, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
AVAX bought at 12.5375 on 2023-08-02 12:53:08.225721, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XLM bought at 0.14539389 on 2023-08-02 12:53:09.043379, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
XTZ bought at 0.837 on 2023-08-02 12:53:10.931032, quantity: 4.713, purchased usd: 1.0, quantity: 4.713, worth usd: $3.944781, buy_points: 1
BTC bought at 29126.31 on 2023-08-02 13:04:08.247977, quantity: 3e-05, purchased usd: 1.0, quantity: 3e-05, worth usd: $0.8737893000000001, buy_points: 1
DOGE bought at 0.074705 on 2023-08-02 13:04:11.258963, quantity: 39.12, purchased usd: 1.0, quantity: 39.12, worth usd: $2.9224595999999994, buy_points: 1
SHIB bought at 8.175e-06 on 2023-08-02 13:04:12.256997, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
ETC bought at 18.0635 on 2023-08-02 13:04:13.330736, quantity: 0.0, purchased usd: 1.0, quantity: 0.0, worth usd: $0.0, buy_points: 1
LTC bought at 86.81418875 on 2023-08-02 13:04:15.170233, quantity: 0.01, purchased usd: 1.0, quantity: 0.01, worth usd: $0.8681418875, buy_points: 1
